date,       link,                  time, program,   solver,             puzzle, format
2025-05-25, 1Ozi0ncGSyg,       1m 57.21s, HSC,      nenri,              3x3x3x3, ao5
2025-05-26, PlnJQ2Qo3xY,       1m 47.90s, HSC,      nenri,              3x3x3x3, single
2025-05-26, fGsCsUpa4J4,       4m 57.42s, HSC,      bruh,               3x3x3x3, single
2025-05-26, n7mw_kM4c-Q,       1m 55.50s, HSC,      nenri,              3x3x3x3, ao5
2025-05-26, GXST7mURJ4U,       1m 44.54s, HSC,      hactar,             3x3x3x3, single
2025-05-27, Wg_MGI8SyEE,      28m 00.37s, HSC,      void,               4x4x4x4, single
2025-05-31, wTZEFYNsp5A,   1h 25m 25.73s, HSC,      nenri,              7x7x7x7, single
2025-05-31, U8wyhlw1sFs,       2m 54.64s, HSC,      vin,                3x3x3x3, single
2025-06-01, LwiZPNybRDU,       1m 47.92s, HSC,      josie,              3x3x3x3, single
2025-06-03, IorDIV7YWtY,       9m 47.40s, MT,       ysinx,              klein_quartic, single
2025-06-03, XJ4A9n7NqLk,       1m 47.22s, HSC,      josie,              3x3x3x3, single
2025-06-04, NNdFurrVYF8,       1m 53.41s, HSC,      hactar,             3x3x3x3, ao5
2025-06-04, NNdFurrVYF8&t=746s, 1m 44.17s, HSC,     hactar,             3x3x3x3, single
2025-06-04, _Xl1O5-UdM0,       1m 43.25s, HSC,      hactar,             3x3x3x3, single
2025-06-05, IDnoaGsc4GQ,       4m 27.92s, HSC,      ysinx,              3x3x3x3, single
2025-06-10, y9C-LaWUlN8,       2m 40.01s, HSC,      vin,                3x3x3x3, single
2025-06-18, jRK7eCffib0,       2m 11.72s, -,        vigoprins,          phys_2x2x2x2, single
2025-06-18, vy8sYXA0jp0,       1m 54.56s, HSC,      josie,              3x3x3x3, ao5
2025-06-18, vy8sYXA0jp0,       1m 44.93s, HSC,      josie,              3x3x3x3, single
2025-06-19, 7FKRxmeGIf4,       1m 41.29s, HSC,      josie,              3x3x3x3, single
2025-06-20, iGJCgdLEcPs,       1m 50.76s, HSC,      hactar,             3x3x3x3, ao5
2025-06-20, iGJCgdLEcPs&t=476s, 1m 42.33s, HSC,     hactar,             3x3x3x3, single
2025-06-22, ut7lDcZ_fn0&t=131s, 1m 48.28s, HSC,     josie,              3x3x3x3, ao5
2025-06-22, ut7lDcZ_fn0,       1m 41.25s, HSC,      josie,              3x3x3x3, single
2025-06-22, olDrlcssYaM,       2m 10.35s, HSC,      edan,               3x3x3x3, single
2025-06-26, YbH0LhKhbZQ,      19m 09.28s, HSC,      minidog,            3x3x3x3, single
2025-06-26, cQz3EsLvLlk,      15m 31.06s, HSC,      minidog,            3x3x3x3, single
2025-06-26, RHdX3JN4gqw,       1m 45.61s, HSC,      hactar,             3x3x3x3, ao5
2025-06-26, AjOOox7SegY,       1m 37.48s, HSC,      hactar,             3x3x3x3, single
2025-06-28, zyOxrQquTJw,      14m 23.24s, HSC,      minidog,            3x3x3x3, single
2025-06-28, EUWfnoZWDsE,      11m 23.18s, HSC,      minidog,            3x3x3x3, single
2025-06-29, 3QG1H8aqx4A,      10m 01.17s, HSC,      minidog,            3x3x3x3, single
2025-07-03, OxPyBmSw9K8,      17m 21.99s, HSC,      messil,             3x3x3x3, single
2025-07-04, XT4QOHbeIlQ,       5m 40.34s, HSC,      jessica,            3x3x3x3, single
